Name,title,abstract
"CHERTOK, Maxwell B",Measurement of CP-violation asymmetries in D0â†’KS0Ï€+Ï€-,
"ERBACHER, Robin D",Evidence for s-Channel Single-Top-Quark Production in Events with One Charged Lepton and Two Jets at CDF,
"CHERTOK, Maxwell B",Mass and lifetime measurements of bottom and charm baryons in ppÂ¯ collisions at s=1.96 TeV,
"KURZROCK, Eric",Outcomes After Pediatric Ureteral Reimplantation: A Population Based Analysis,
"COX, Timothy",Search for Dijet Resonances in 7 TeV pp Collisions at CMS,
"MALTEPE, Emin",In Vitro Culture of Mouse Embryos Reduces Differential Gene Expression Between Inner Cell Mass and Trophectoderm,
"HIROSE, Shinjiro",Bringing the Skills Laboratory Home: An Affordable Webcam-Based Personal Trainer for Developing Laparoscopic Skills,
"FARMER, Diana L",Fetal Intervention for Complications of Monochorionic Twinning,
"HIROSE, Shinjiro",Fetal surgery for myelomeningocele,
"ANDERSON, John T",Diagnosis of Posttraumatic Pulmonary Embolism: Is Chest Computed Tomographic Angiography Acceptable?,
"DECARLI, Charles",Association of common genetic variants in GPCPD1 with scaling of visual cortical surface area in humans.,"Visual cortical surface area varies two- to threefold between human individuals, is highly heritable, and has been correlated with visual acuity and visual perception. However, it is still largely unknown what specific genetic and environmental factors contribute to normal variation in the area of visual cortex. To identify SNPs associated with the proportional surface area of visual cortex, we performed a genome-wide association study followed by replication in two independent cohorts. We identified one SNP (rs6116869) that replicated in both cohorts and had genome-wide significant association (P(combined) = 3.2 Ã— 10(-8)). Furthermore, a metaanalysis of imputed SNPs in this genomic region identified a more significantly associated SNP (rs238295; P = 6.5 Ã— 10(-9)) that was in strong linkage disequilibrium with rs6116869. These SNPs are located within 4 kb of the 5' UTR of GPCPD1, glycerophosphocholine phosphodiesterase GDE1 homolog (Saccharomyces cerevisiae), which in humans, is more highly expressed in occipital cortex compared with the remainder of cortex than 99.9% of genes genome-wide. Based on these findings, we conclude that this common genetic variation contributes to the proportional area of human visual cortex. We suggest that identifying genes that contribute to normal cortical architecture provides a first step to understanding genetic mechanisms that underlie visual perception."
"STEWART, Susan L",Hepatocellular screening in hepatitisâ€B infected Asian Americans,
"CHERTOK, Maxwell B",Measurement of The Single Top Quark Production Cross Section at sqrt(s)=1.96 TeV,"Within the standard model top quarks are predicted to be most often produced in pairsvia the strong interaction. However they can also be produced singly through the weakinteraction. This is a rarer process with many experimental challenges. It is interestingbecause it provides a new window to search for evidence of physics beyond the standardmodel picture, such as a fourth generation of quarks or to search for insight into the HiggsMechanism. Single top production also provides a direct way to calculate the CKM matrixelement Vtb.       This thesis presents new measurements for single top quark production in the s+t, s andt channels using 5.4 fb-1 of data collected at the DÃ˜ detector at Fermilab in Batavia, IL.  The analysis was performed using Boosted decision trees to separate signal from background and Bayesian statistcs to calculate all the cross sections. The results obtained are:s channel :  Ïƒ (ppbar â†’ tb + X) = 0.68 +0.41 - 0.39 pb,t channel :  Ïƒ (ppbar â†’ tqb + X) = 3.03 +0.78 - 0.66 pb,Combined s+t channels :   Ïƒ(ppbar â†’ tb + X, tqb + X) = 3.01 +0.80 - 0.75 pb.     The s channel has a Gaussian significance of 1.6Ïƒ, the t channel 5.5Ïƒ, and the s+t 4.3Ïƒ.  The results are consistent with the standard model predictions within one standard deviation. By combining these results with the results for two other analyses (using different MVA techniques) improved results of:Combined s+t channels :   Ïƒ(ppbar â†’ tb + X, tqb + X) = 3.43 +0.73 - 0.74 pb,t channel :  Ïƒ(ppbar â†’ tqb + X) = 2.90 +0.59 - 0.59 pb.were obtained. These give a 5.6Ïƒ significance for the combined s + t channel and 5.5Ïƒ for the t channel."
"CHERTOK, Maxwell B",Measurement of B(tâ†’Wb)/B(tâ†’Wq) at the Collider Detector at Fermilab,
"CHERTOK, Maxwell B",Measurements of prompt charm production cross-sections in pp collisions at s=5 TeV,"We report on measurements of differential cross sections dsigma/dp(T) for prompt charm meson production in ppmacr; collisions at sqrt[s]=1.96 TeV using 5.8+/-0.3 pb(-1) of data from the CDF II detector at the Fermilab Tevatron. The data are collected with a new trigger that is sensitive to the long lifetime of hadrons containing heavy flavor. The charm meson cross sections are measured in the central rapidity region |y|K-pi(+), D(*+)-->D0pi(+), D+-->K-pi(+)pi(+), D(+)(s)-->phipi(+), and their charge conjugates. The measured cross sections are compared to theoretical calculations."
"CHERTOK, Maxwell B",Measurement of dÏƒ/dM and Forward-Backward Charge Asymmetry for High-Mass Drell-Yan e+e- Pairs from ppÂ¯ Collisions at s=1.8 TeV,
"CHERTOK, Maxwell B",Measurement of b-Quark Fragmentation Fractions in ppÂ¯ Collisions at s=1.8 TeV,
"MALTEPE, Emin",Hypoxia-inducible factor (HIF) and HIF-stabilizing agents in neonatal care,
"MILLER, Chris J",Retroviral Recombination In Vivo: Viral Replication Patterns and Genetic Structure of Simian Immunodeficiency Virus (SIV) Populations in Rhesus Macaques after Simultaneous or Sequential Intravaginal Inoculation with SIVmac239Î”vpx/Î”vpr and SIVmac239Î”nef,
