025-02-20 21:02:52,878 - Loaded spaCy model in 1.70 seconds
2025-02-20 21:02:52,879 - Processing file: C:\Users\austi\IdeaProjects\expert-mapping-interface\src\geo\data\csv\expert_profiles.csv
2025-02-20 21:02:55,129 - Batch 0-50 processed in 2.22 seconds | Locations found: 1 | Total locations: 1
2025-02-20 21:02:56,175 - Batch 50-100 processed in 1.05 seconds | Locations found: 2 | Total locations: 3
2025-02-20 21:02:57,505 - Batch 100-150 processed in 1.33 seconds | Locations found: 4 | Total locations: 7
2025-02-20 21:02:58,601 - Batch 150-200 processed in 1.10 seconds | Locations found: 3 | Total locations: 10
2025-02-20 21:03:01,494 - Batch 200-250 processed in 2.89 seconds | Locations found: 4 | Total locations: 14
2025-02-20 21:03:02,557 - Batch 250-300 processed in 1.06 seconds | Locations found: 3 | Total locations: 17
2025-02-20 21:03:03,863 - Batch 300-350 processed in 1.31 seconds | Locations found: 5 | Total locations: 22
2025-02-20 21:03:07,467 - Batch 350-400 processed in 3.60 seconds | Locations found: 4 | Total locations: 26
2025-02-20 21:03:09,296 - Batch 400-450 processed in 1.83 seconds | Locations found: 1 | Total locations: 27
2025-02-20 21:03:10,338 - Batch 450-500 processed in 1.04 seconds | Locations found: 3 | Total locations: 30
2025-02-20 21:03:11,651 - Batch 500-550 processed in 1.31 seconds | Locations found: 3 | Total locations: 33
2025-02-20 21:03:13,170 - Batch 550-600 processed in 1.52 seconds | Locations found: 2 | Total locations: 35
2025-02-20 21:03:14,384 - Batch 600-650 processed in 1.21 seconds | Locations found: 7 | Total locations: 42
2025-02-20 21:03:16,422 - Batch 650-700 processed in 2.04 seconds | Locations found: 0 | Total locations: 42
2025-02-20 21:03:17,721 - Batch 700-750 processed in 1.30 seconds | Locations found: 2 | Total locations: 44
2025-02-20 21:03:19,314 - Batch 750-800 processed in 1.59 seconds | Locations found: 3 | Total locations: 47
2025-02-20 21:03:20,679 - Batch 800-850 processed in 1.36 seconds | Locations found: 3 | Total locations: 50
2025-02-20 21:03:21,673 - Batch 850-900 processed in 0.99 seconds | Locations found: 7 | Total locations: 57
2025-02-20 21:03:23,654 - Batch 900-950 processed in 1.98 seconds | Locations found: 9 | Total locations: 66
2025-02-20 21:03:25,175 - Batch 950-1000 processed in 1.52 seconds | Locations found: 6 | Total locations: 72
2025-02-20 21:03:27,797 - Batch 1000-1050 processed in 2.62 seconds | Locations found: 4 | Total locations: 76
2025-02-20 21:03:29,272 - Batch 1050-1100 processed in 1.47 seconds | Locations found: 4 | Total locations: 80
2025-02-20 21:03:31,296 - Batch 1100-1150 processed in 2.02 seconds | Locations found: 4 | Total locations: 84
2025-02-20 21:03:33,190 - Batch 1150-1200 processed in 1.89 seconds | Locations found: 2 | Total locations: 86
2025-02-20 21:03:34,296 - Batch 1200-1250 processed in 1.11 seconds | Locations found: 1 | Total locations: 87
